元徳,げんとく,1329,8,29
元弘,げんこう,1331,8,9
正慶,しょうきょう（しょうけい）,1332,4,28
建武,けんむ（けんぶ）,1334,1,29
延元,えんげん,1336,2,29
暦応,りゃくおう（れきおう）,1338,8,28
興国,こうこく,1340,4,28
康永,こうえい,1342,4,27
貞和,じょうわ（ていわ）,1345,10,21
正平,しょうへい,1346,12,8
観応,かんおう（かんのう）,1350,2,27
文和,ぶんな（ぶんわ）,1352,9,27
延文,えんぶん,1356,3,28
康安,こうあん,1361,3,29
貞治,じょうじ（ていじ）,1362,9,23
応安,おうあん,1368,2,18
建徳,けんとく,1370,7,24
文中,ぶんちゅう,1372,4,1
天授,てんじゅ,1375,5,27
永和,えいわ,1375,2,27
康暦,こうりゃく,1379,3,22
弘和,こうわ,1381,2,10
永徳,えいとく,1381,2,24
元中,げんちゅう,1384,4,28
至徳,しとく,1384,2,27
嘉慶,かきょう（かけい）,1387,8,23
康応,こうおう,1389,2,9
明徳,めいとく,1390,3,26
応永,おうえい,1394,7,5
正長,しょうちょう,1428,4,27
永享,えいきょう,1429,9,5
嘉吉,かきつ（かきち）,1441,2,17
文安,ぶんあん,1444,2,5
宝徳,ほうとく,1449,7,28
享徳,きょうとく,1452,7,25
康正,こうしょう,1455,7,25
長禄,ちょうろく,1457,9,28
寛正,かんしょう,1460,12,21
文正,ぶんしょう（もんしょう）,1466,2,28
応仁,おうにん,1467,3,5
文明,ぶんめい,1469,4,28
長享,ちょうきょう,1487,7,20
延徳,えんとく,1489,8,21
明応,めいおう,1492,7,19
文亀,ぶんき,1501,2,29
永正,えいしょう,1504,2,30
大永,だいえい,1521,8,23
享禄,きょうろく,1528,8,20
天文,てんぶん,1532,7,29
弘治,こうじ,1555,10,23
永禄,えいろく,1558,2,28
元亀,げんき,1570,4,23
文禄,ぶんろく,1592,12,8
慶長,けいちょう（きょうちょう）,1596,10,27
寛永,かんえい,1624,2,30
正保,しょうほう,1644,12,16
慶安,けいあん,1648,2,15
承応,じょうおう（しょうおう）,1652,9,18
明暦,めいれき（みょうりゃく）,1655,4,13
万治,まんじ,1658,7,23
寛文,かんぶん,1661,4,25
延宝,えんぽう,1673,9,21
天和,てんな,1681,9,29
貞享,じょうきょう,1684,2,21
元禄,げんろく,1688,9,30
宝永,ほうえい,1704,3,13
正徳,しょうとく,1711,4,25
享保,きょうほう（きょうほ）,1716,6,22
元文,げんぶん,1736,4,28
寛保,かんぽう（かんほう）,1741,2,27
延享,えんきょう,1744,2,21
寛延,かんえん,1748,7,12
宝暦,ほうれき（ほうりゃく）,1751,10,27
明和,めいわ,1764,6,2
安永,あんえい,1772,11,16
天明,てんめい,1781,4,2
寛政,かんせい,1789,1,25
享和,きょうわ,1801,2,5
文化,ぶんか,1804,2,11
文政,ぶんせい,1818,4,22
天保,てんぽう（てんほう）,1830,12,10
弘化,こうか,1844,12,2
嘉永,かえい,1848,2,28
安政,あんせい,1854,11,27
万延,まんえん,1860,3,18
文久,ぶんきゅう,1861,2,19
元治,げんじ,1864,2,20
慶応,けいおう,1865,4,7
明治,めいじ,1868,9,8
大正,たいしょう,1912,7,30
昭和,しょうわ,1926,12,25
平成,へいせい,1989,1,8
